Company,Project,Cost,URL,rate_card_id
Tata Consultancy Services Limited,TCS Digital Smart City - TCS DigiGOV,30 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/778147171397028,n/a
Slalom Consulting,Cloud Data Architecture - Snowflake,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/421429348332652,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
FDM GROUP,Cloud Data Management Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/896737949397803,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Sparta Global Limited (formerly Testing Circle Limited),"Emerging Digital, Data and Technology Talent","250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/362853140036139,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127.pdf
Slalom Consulting,Cloud Project Management,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/313656883041661,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Capgemini UK plc,Internet of Things,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/228635445587348,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Ten10 Solutions Limited,Academy (Emerging Talent) Engineers,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/825658907067182,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
FDM GROUP,Cloud Robotic Process Automation (RPA) and Business Process Management (BPM) Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/103424906047468,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Ten10 Solutions Limited,Hybrid Testing Team Service,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/538654099376375,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
Capgemini UK plc,Office 365 Managed Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/541184617479786,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Sparta Global Limited (formerly Testing Circle Limited),Emerging Test Engineering and Test Analysis Talent,"250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/729108061178591,SpartaGlobalLimited(formerlyTestingCircleLimited)_729108061178591-sfia-rate-card-2022-05-12-1122.pdf
Slalom Consulting,Digital HQ Enabled by Slack,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/196367937738785,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
FDM GROUP,Project Delivery Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/543947253803956,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Tata Consultancy Services Limited,TCS Database and Data Migration services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/884181027233206,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Sparta Global Limited (formerly Testing Circle Limited),Emerging DevOps Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/556392738393829,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128.pdf
CREDERA LIMITED,Sourcing and vendor management / managed Procurement,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/665089361054871,n/a
Slalom Consulting,Ethical AI,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/643497514596824,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Ten10 Solutions Limited,Functional Test Services,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/683453234211269,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
FDM GROUP,Cloud Data Science Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/793078506116862,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Capgemini UK plc,Performance Testing Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/876219660300308,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Tata Consultancy Services Limited,TCS Front and Back Office Application Services -  TCS DigiGOV FRAMEWORKS,30 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/197866363323700,n/a
Sparta Global Limited (formerly Testing Circle Limited),Emerging Business Analysis and Product Talent,"250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/587424703234411,SpartaGlobalLimited(formerlyTestingCircleLimited)_587424703234411-sfia-rate-card-2022-05-12-1119.pdf
Capgemini UK plc,Business Process Improvement Consulting Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/314149883965132,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Tata Consultancy Services Limited,TCS AWS Cloud Assessment Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/870506762140718,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Slalom Consulting,Data Visualisation - Power BI,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/687139349214011,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
CREDERA LIMITED,Data Strategy,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/563821912986321,n/a
Ten10 Solutions Limited,Test Management and Leadership,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/442379899077615,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
FDM GROUP,Testing Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/677595267443768,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Sparta Global Limited (formerly Testing Circle Limited),Emerging Software Engineering Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/623762746110782,SpartaGlobalLimited(formerlyTestingCircleLimited)_623762746110782-sfia-rate-card-2022-05-12-1140.pdf
FDM GROUP,Cloud Project Support Office Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/972612185910286,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Ten10 Solutions Limited,Business Analysis Services,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/454471471729451,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
Slalom Consulting,Project/Programme Management,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/587950568640371,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
CREDERA LIMITED,Data Visualisation,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/384756515702080,n/a
Tata Consultancy Services Limited,TCS AWS Cloud Migration Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/165760872505307,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,Project Management Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/292956867795186,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
BetterGov,BetterGov 360,"5,000 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/466111547686900,BetterGov_466111547686900-sfia-rate-card-2024-02-27-1343.pdf
Slalom Consulting,Salesforce Platform - Custom Implementation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/319313199311403,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Ten10 Solutions Limited,DevOps Engineering,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/592358255033040,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
CREDERA LIMITED,CRM Strategy & Implementation,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/334651074374614,n/a
Sparta Global Limited (formerly Testing Circle Limited),"Emerging User Research, UX and UI Talent","250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/933059535080106,SpartaGlobalLimited(formerlyTestingCircleLimited)_933059535080106-sfia-rate-card-2022-05-12-1153.pdf
Tata Consultancy Services Limited,TCS Cloud Support Services for Enterprise Solutions,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/152169826287483,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
FDM GROUP,Cloud Business Intelligence Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/153604262923778,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Capgemini UK plc,Capgemini Training Services for Atlassian Systems,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/364940981752229,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
BetterGov,Data Platform and Analytics,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/792740071974263,BetterGov_792740071974263-sfia-rate-card-2024-02-27-1345.pdf
Slalom Consulting,Product Ownership,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/163150731430389,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Ten10 Solutions Limited,Robotic Process Automation (RPA),"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/578995076756869,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
CREDERA LIMITED,Marketing Cloud Implementation,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/536446851853596,n/a
Tata Consultancy Services Limited,TCS Blockchain-based Digital Identity Professional Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/865236150546201,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,Fraud and Error Prevention Service Design,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/704801680165711,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
FDM GROUP,Cloud Business Analysis Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/826339085925665,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Sparta Global Limited (formerly Testing Circle Limited),Emerging PMO and Project Support Talent,"250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/613005748325492,SpartaGlobalLimited(formerlyTestingCircleLimited)_613005748325492-sfia-rate-card-2022-05-12-1126.pdf
Ten10 Solutions Limited,Test and Quality Engineering,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/361265272241572,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
CREDERA LIMITED,GCP Dataproc/BigQuery,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/338949540870918,n/a
FDM GROUP,Cloud Engineering Service,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/626031224419842,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Slalom Consulting,Cloud FinOps and Cost Optimisation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/620405644963933,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS CloudStudio Cloud Consultancy and Support Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/428323650649853,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,SYNERGi GRC,"22,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/287961848499408,n/a
