,company_name,num_rate_cards
0,AND Digital Limited,
1,Wipro Limited,
2,Dufrain,
3,Fjord Consulting Group,
4,Mesh AI,
5,Infinite Lambda,
6,Sparta Global,1.0
7,Cambridge Consultants Limited,
8,Capco Limited,
9,FDM Group,1.0
10,Ten10,1.0
11,BetterGov,3.0
12,Kubrick Group,1.0
13,11:FS,
14,a1qa,
15,Accenture PLC,
16,IQVIA LTD.,5.0
17,Afiniti,
18,Airwalk Reply,
19,Credera,
20,Alix Partners,
21,Apexon,
22,Arthur D Little,
23,Atos Group,
24,Atos SE,
25,Avanade Inc.,
26,Bain %26 Company,
27,Slalom,1.0
28,Adatis,1.0
29,Billigence,
30,Blueberry Consultants Ltd.,
31,Booz Allen Hamilton Holding Corp,
32,Alchemmy,1.0
33,Broadstones Tech,
34,Cambridge Design Partnership,
35,Canon Inc.,
36,Boston Consulting Group,
37,Centric Consulting,
38,Infosys Limited,11.0
39,Baringa,
40,CIGNITI Technologies Ltd,
41,Cognifide,
42,Contino Ltd.,
43,Credo Consulting,
44,Clarasys,1.0
45,Designit,
46,Capita,2.0
47,Digital Workplace Group,
48,Eclature Technologies,
49,Tata Consultancy Services Limited,8.0
50,DXC Technology,
51,Edge Testing Solutions,
52,Elixirr International Plc,
53,Eden McCallum,
54,EPAM Systems Inc,
55,Faculty AI,
56,Frog Design,
57,Frontier Economics,
58,GeekTek,
59,Genpact Ltd,
60,HCL Technologies Ltd,
61,Hexaware Technologies Ltd,
62,HP Inc,
63,Icon PLC,
64,IDEO,
65,Infostretch Corp,
66,International Business Machines Corp,
67,JMAN Group,
68,BJSS,1.0
69,Kearney,
70,KONICA MINOLTA INC,
71,CGI,19.0
72,Laboratory Corp Of America Holdings,
73,"LockPath, Inc.",
74,LogicManager,
75,"LogicSource, Inc.",
76,Lovelytics,
77,Lunar,
78,Made Tech Group Plc,
79,Equal Experts,2.0
80,McKinsey,
81,METRICSTREAM INC,
82,MindTree Ltd,
83,Mason Advisory,1.0
84,Mphasis Ltd,
85,mthree,
86,Neoris,
87,Kainos,1.0
88,NexInfo,
89,OC%26C Strategy Consultants,
90,Oliver Wyman,
91,OpenCredo,
92,Oracle Consulting,
93,PA Consulting Group,
94,Parexel International Corp,
95,Peru Consulting,
96,Planit Testing,
97,PPD Inc,
98,PRA Health Sciences Inc,
99,Mosaic Island,9.0
100,EY,2.0
101,Project One,1.0
102,Prolifics Inc,
103,RICOH CO LTD,
104,Roland Berger,
105,Deloitte,
106,SEIKO EPSON CORP,
107,Simon Kutcher %26 Partners,
108,SkillStorm,
109,Spring Studios,
110,Strategy %26 London,
111,Softwire,
112,Switchfast Technologies,
113,Sutherland,
114,Syneos Health Inc,
115,TAG Solutions,
116,Terillium,
117,Tech Mahindra Ltd,
118,Testhouse Ltd,
119,The Berkeley Partnership,
120,The PSC,2.0
121,Ultimus Fund Solutions,
122,Verisk Analytics Inc,
123,Capgemini UK plc,5.0
124,KPMG,3.0
125,Xerox Corp,
126,ZS,
127,North Highland,1.0
128,Thoughtworks,1.0
129,Wavestone,2.0
130,Zoonou,1.0
131,Cognizant Worldwide Limited,14.0
132,PwC,
133,Projective,
