   ,rate_card_id ,company                       ,location_type ,Apply  ,Assist ,Enable ,Ensure or advise ,Follow ,Initiate or influence ,Set strategy or inspire
 0 ,           0 ,Adatis                        ,onshore       , 990.0 , 890.0 ,1120.0 ,          1250.0 , 495.0 ,               1470.0 ,                 1595.0
 1 ,           1 ,AlchemmyConsultingLtd         ,onshore       ,1080.0 , 840.0 ,1380.0 ,          1760.0 , 590.0 ,               1760.0 ,                 2420.0
 2 ,           3 ,BJSSLimited                   ,onshore       , 920.0 , 695.0 ,1100.0 ,          1250.0 , 350.0 ,               1400.0 ,                 1650.0
 3 ,           5 ,CapitaBusinessServicesLimited ,onshore       , 606.0 , 447.0 , 841.0 ,           947.0 , 267.0 ,               1107.0 ,                 1447.0
 4 ,          14 ,EqualExpertsUKLimited         ,onshore       , 600.0 ,       , 830.0 ,           975.0 ,       ,               1275.0 ,                 1500.0
 5 ,          15 ,EqualExpertsUKLimited         ,onshore       ,1000.0 ,       ,1000.0 ,          1000.0 ,       ,               1275.0 ,                     
 6 ,          18 ,InfosysLimited                ,offshore      , 234.0 , 205.0 , 289.0 ,           351.0 , 205.0 ,                351.0 ,                  466.0
 7 ,          18 ,InfosysLimited                ,onshore       , 488.0 , 487.0 , 502.0 ,           586.0 , 487.0 ,                586.0 ,                  810.0
 8 ,          19 ,InfosysLimited                ,offshore      , 189.0 , 167.0 , 203.0 ,           254.0 , 152.0 ,                276.0 ,                  314.0
 9 ,          19 ,InfosysLimited                ,onshore       , 519.0 , 519.0 , 586.0 ,           732.0 , 519.0 ,                832.0 ,                  999.0
10 ,          20 ,InfosysLimited                ,offshore      , 160.0 , 142.0 , 213.0 ,           242.0 , 142.0 ,                297.0 ,                  360.0
11 ,          20 ,InfosysLimited                ,onshore       , 502.0 , 369.0 , 507.0 ,           508.0 , 369.0 ,                490.0 ,                  609.0
12 ,          21 ,InfosysLimited                ,offshore      , 197.0 , 197.0 , 197.0 ,           211.0 , 197.0 ,                253.0 ,                  268.0
13 ,          21 ,InfosysLimited                ,onshore       , 512.0 , 512.0 , 512.0 ,           563.0 , 512.0 ,                614.0 ,                  672.0
14 ,          22 ,InfosysLimited                ,offshore      , 202.0 , 194.0 , 214.0 ,           261.0 , 194.0 ,                290.0 ,                  315.0
15 ,          22 ,InfosysLimited                ,onshore       , 513.0 , 513.0 , 640.0 ,           689.0 , 513.0 ,                813.0 ,                  995.0
