,missing_rate_cards
0,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344
1,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140
2,CGI_135815781352257-sfia-rate-card-2022-05-16-1917
3,ClarasysLimited_514137725494885-sfia-rate-card-2022-05-16-0932
4,CognizantWorldwideLimited_157552930737303-sfia-rate-card-2022-05-10-1430
5,CognizantWorldwideLimited_211662788676096-sfia-rate-card-2022-05-16-1304
6,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028
7,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001
8,DeloitteLLP_297929729984515-sfia-rate-card-2022-05-17-1148
9,Ernst&YoungLLP(EY)_510140384720685-sfia-rate-card-2022-05-11-0957
10,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233
11,IQVIALTD._194346053549503-sfia-rate-card-2022-04-14-1652
12,KPMGLLP_131143655173785-sfia-rate-card-2022-05-17-1008
13,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049
14,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131
15,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437
16,SoftwireTechnologyLimited_828621051503688-sfia-rate-card-2022-05-16-0825
17,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127
18,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128
19,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303
20,ThePublicServiceConsultants(tradingasThePSC)_399353489976769-sfia-rate-card-2022-05-18-0943
21,ZoonouLimited_148392630329364-sfia-rate-card-2022-05-13-1529
