,Company,Project,Cost,URL,rate_card_id
0,Tata Consultancy Services Limited,TCS Digital Smart City - TCS DigiGOV,30 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/778147171397028,
1,FDM GROUP,Cloud Data Management Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/896737949397803,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
2,Slalom Consulting,Cloud Data Architecture - Snowflake,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/421429348332652,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
3,Capgemini UK plc,Internet of Things,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/228635445587348,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
4,FDM GROUP,Cloud Robotic Process Automation (RPA) and Business Process Management (BPM) Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/103424906047468,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
5,CREDERA LIMITED,Sourcing and vendor management / managed Procurement,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/665089361054871,
6,Capgemini UK plc,Office 365 Managed Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/541184617479786,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
7,Slalom Consulting,Cloud Project Management,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/313656883041661,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
8,Ten10 Solutions Limited,Academy (Emerging Talent) Engineers,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/825658907067182,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
9,CREDERA LIMITED,Data Strategy,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/563821912986321,
10,FDM GROUP,Project Delivery Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/543947253803956,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
11,Tata Consultancy Services Limited,TCS Database and Data Migration services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/884181027233206,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
12,Slalom Consulting,Digital HQ Enabled by Slack,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/196367937738785,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
13,Capgemini UK plc,Performance Testing Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/876219660300308,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
14,Ten10 Solutions Limited,Hybrid Testing Team Service,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/538654099376375,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
15,Sparta Global Limited (formerly Testing Circle Limited),"Emerging Digital, Data and Technology Talent","250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/362853140036139,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127.pdf
16,CREDERA LIMITED,Data Visualisation,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/384756515702080,
17,Slalom Consulting,Ethical AI,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/643497514596824,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
