,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_file,location_type
0,1,495,495,495,495,495,495,Follow,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
1,2,890,890,890,890,890,890,Assist,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
2,3,990,990,990,990,990,990,Apply,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
3,4,1120,1120,1120,1120,1120,1120,Enable,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
4,5,1250,1250,1250,1250,1250,1250,Ensure or advise,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
5,6,1470,1470,1470,1470,1470,1470,Initiate or influence,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
6,7,1595,1595,1595,1595,1595,1595,Set strategy or inspire,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,onshore
7,1,590,590,590,590,590,590,Follow,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
8,2,840,840,840,840,840,840,Assist,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
9,3,1080,1080,1080,1080,1080,1080,Apply,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
10,4,1380,1380,1380,1380,1380,1380,Enable,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
11,5,1760,1760,1760,1760,1760,1760,Ensure or advise,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
12,6,1760,1760,1760,1760,1760,1760,Initiate or influence,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
13,7,2420,2420,2420,2420,2420,2420,Set strategy or inspire,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,onshore
14,1,350,350,350,350,350,350,Follow,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
15,2,695,695,695,585,585,585,Assist,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
16,3,920,920,920,745,745,745,Apply,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
17,4,1100,1100,1100,880,880,880,Enable,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
18,5,1250,1250,1250,1020,1020,1020,Ensure or advise,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
19,6,1600,1600,1400,1140,1140,1140,Initiate or influence,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
20,7,1760,1760,1650,1325,1325,1325,Set strategy or inspire,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,onshore
21,1,300,300,267,267,300,300,Follow,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
22,2,550,550,447,447,550,550,Assist,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
23,3,650,650,606,606,650,650,Apply,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
24,4,850,850,841,841,850,850,Enable,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
25,5,950,950,947,947,950,950,Ensure or advise,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
26,6,1400,1400,1107,1107,1400,1400,Initiate or influence,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
27,7,2000,2000,1447,1447,2000,2000,Set strategy or inspire,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,onshore
28,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
29,2,N/A,N/A,N/A,N/A,300,300,Assist,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
30,3,600,600,600,600,600,600,Apply,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
31,4,830,830,830,830,830,830,Enable,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
32,5,975,975,975,975,975,975,Ensure or advise,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
33,6,1275,1275,1275,1275,1275,1275,Initiate or influence,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
34,7,1500,1500,1500,1500,1500,1500,Set strategy or inspire,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,onshore
35,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
36,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
37,3,1000,N/A,1000,N/A,N/A,1000,Apply,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
38,4,1000,N/A,1000,N/A,N/A,1000,Enable,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
39,5,1000,N/A,1000,N/A,N/A,1000,Ensure or advise,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
40,6,1275,N/A,1275,N/A,N/A,1275,Initiate or influence,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
41,7,N/A,N/A,N/A,N/A,N/A,N/A,Set strategy or inspire,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,onshore
42,1,234,205,205,174,236,466,Follow,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
43,2,234,205,205,205,236,466,Assist,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
44,3,234,234,234,234,236,466,Apply,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
45,4,289,289,289,289,236,466,Enable,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
46,5,351,351,351,351,277,466,Ensure or advise,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
47,6,351,351,351,351,277,466,Initiate or influence,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
48,7,466,466,466,466,414,466,Set strategy or inspire,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
49,8,488,487,487,487,506,810,Follow,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
50,9,488,487,487,488,506,810,Assist,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
51,1,488,488,488,489,506,810,Apply,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
