,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_id
0,1,495,495,495,495,495,495,Follow,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
1,2,890,890,890,890,890,890,Assist,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
2,3,990,990,990,990,990,990,Apply,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
3,4,1120,1120,1120,1120,1120,1120,Enable,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
4,5,1250,1250,1250,1250,1250,1250,Ensure or advise,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
5,6,1470,1470,1470,1470,1470,1470,Initiate or influence,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
6,7,1595,1595,1595,1595,1595,1595,Set strategy or inspire,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852
7,1,590,590,590,590,590,590,Follow,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
8,2,840,840,840,840,840,840,Assist,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
9,3,1080,1080,1080,1080,1080,1080,Apply,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
10,4,1380,1380,1380,1380,1380,1380,Enable,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
11,5,1760,1760,1760,1760,1760,1760,Ensure or advise,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
12,6,1760,1760,1760,1760,1760,1760,Initiate or influence,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
13,7,2420,2420,2420,2420,2420,2420,Set strategy or inspire,AlchemmyConsultingLtd_722816291618172-sfia-rate-card-2022-05-18-0941
14,1,590,590,590,590,590,590,Follow,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007
15,2,840,840,840,840,840,840,Assist,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007
16,3,1080,1080,1080,1080,1080,1080,Apply,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007
17,4,1380,1380,1380,1380,1380,1380,Enable,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007
18,5,1760,1760,1760,1760,1760,1760,Ensure or advise,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007
19,6,1760,1760,1760,1760,1760,1760,Initiate or influence,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007
