  ,level ,strategy_and_architecture ,change_and_transformation ,development_and_implementation ,delivery_and_operation ,people_and_skills ,relationships_and_engagement ,level_name              ,rate_card_id                                                                 ,business_change ,solution_development_and_implementation ,service_management ,procurement_and_management_support ,client_interface
0 ,    1 ,495                       ,495                       ,495                            ,495                    ,495               ,495                          ,Follow                  ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,890                       ,890                       ,890                            ,890                    ,890               ,890                          ,Assist                  ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,990                       ,990                       ,990                            ,990                    ,990               ,990                          ,Apply                   ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,"1,120"                   ,"1,120"                   ,"1,120"                        ,"1,120"                ,"1,120"           ,"1,120"                      ,Enable                  ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,"1,250"                   ,"1,250"                   ,"1,250"                        ,"1,250"                ,"1,250"           ,"1,250"                      ,Ensure or advise        ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,470"                   ,"1,470"                   ,"1,470"                        ,"1,470"                ,"1,470"           ,"1,470"                      ,Initiate or influence   ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,595"                   ,"1,595"                   ,"1,595"                        ,"1,595"                ,"1,595"           ,"1,595"                      ,Set strategy or inspire ,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852                        ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,495                       ,495                       ,495                            ,495                    ,495               ,495                          ,Follow                  ,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855                        ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,890                       ,890                       ,890                            ,890                    ,890               ,890                          ,Assist                  ,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855                        ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,990                       ,990                       ,990                            ,990                    ,990               ,990                          ,Apply                   ,Adatis_328689946610675-sfia-rate-card-2022-05-13-0855                        ,-               ,-                                       ,-                  ,-                                  ,-
